NOTE: this sheet gets updated each time,,,,,,
Date,Time_set_start_UTC,Set,MPVPosition,Core,Mass_g,Notes
9/18/15,21:10,,2,AL 26,1968.4,
9/18/15,21:10,,12,AL 14,1939,
9/18/15,21:10,,8,AL 1,2002,
9/18/15,21:10,,5,AL 16,2138.4,
9/18/15,21:10,,9,AL 13,1628.6,
9/18/15,21:34,,10,Ambient4,,
9/18/15,21:44,,6,AL 25,1613.4,
9/18/15,21:44,,16,AL 36,1905.6,
9/18/15,21:44,,13,AL 8,1290.3,
9/18/15,21:44,,14,AL 7,2045.9,
9/18/15,21:44,,11,AL 29,1731.1,
9/18/15,21:44,,1,AL 20,2015.3,
9/18/15,22:08,,10,Ambient4,,
9/21/15,,,,AL 38,1962.9,20 g water added
9/21/15,,,,AL 39,2173.1,15 g water added
9/21/15,,,,AL 10,1441.9,10 g water added
9/21/15,,,,AL 5,1843.5,20 g water added
9/21/15,,,,AL 22,1853.6,15 g water added
9/21/15,,,,AL 34,2016.2,20 g water added
9/21/15,,,,AL 23,1908.3,20 g water added
9/21/15,,,,AL 18,1698.8,10 g water added
9/21/15,,,,AL 15,1686.8,
9/21/15,,,,AL 21,2135.1,
9/21/15,,,,AL 9,1648,30 g water added
9/21/15,,,,AL 37,1692.7,
9/21/15,,,,AL 19,1580.9,10 g water added
9/21/15,,,,AL 24,1974.9,20 g water added
9/21/15,,,,AL 28,2171.3,50 g water added
9/21/15,,,,AL 27,1421,50 g water added
9/21/15,,,,AL 2,2196.4,30 g water added
9/21/15,,,,AL 6,1678.7,30 g water added
9/21/15,,,,AL 12,2056.9,
9/21/15,,,,AL 26,1958.2,
9/21/15,,,,AL 14,1930,
9/21/15,,,,AL 1,1994.8,
9/21/15,,,,AL 16,2131.8,
9/21/15,,,,AL 13,1618.1,
9/21/15,,,,AL 25,1611.8,30 g water added
9/21/15,,,,AL 36,1903.3,30 g water added
9/21/15,,,,AL 8,1286.8,30 g water added
9/21/15,,,,AL 7,2041.3,30 g water added
9/21/15,,,,AL 29,1828,
9/21/15,,,,AL 20,2012.2,50 g water added
9/22/15,4:30,,10,Ambient22,,
9/22/15,17:33,,6,AL 38,1973.3,
9/22/15,17:33,,16,AL 39,2180.4,possible wonky reading
9/22/15,17:33,,13,AL 10,1443.3,possible wonky reading
9/22/15,17:33,,14,AL 5,1851,
9/22/15,17:33,,11,AL 22,1862.9,
9/22/15,17:33,,1,AL 34,2026.8,
9/22/15,17:57,,10,Ambient22,,
9/22/15,18:07,,4,AL 23,1920.5,
9/22/15,18:07,,2,AL 18,1703.1,
9/22/15,18:07,,12,AL 15,1684.3,
9/22/15,18:07,,8,AL 21,2132.8,
9/22/15,18:07,,5,AL 9,1669.6,
9/22/15,18:07,,9,AL 37,1690.4,
9/22/15,18:31,,10,Ambient22,,
9/22/15,19:07,,6,AL 38,1973.3,replicated run 
9/22/15,19:07,,16,AL 39,2180.4,replicated run 
9/22/15,19:07,,13,AL 10,1443.3,replicated run 
9/22/15,19:07,,14,AL 5,1851,replicated run 
9/22/15,19:07,,11,AL 22,1862.9,replicated run 
9/22/15,19:07,,1,AL 34,2026.8,replicated run 
9/22/15,19:31,,10,Ambient22,,
9/22/15,19:41,,4,AL 19,1585.9,***different valve/port than usual 
9/22/15,19:41,,2,AL 24,1986.5,***different valve/port than usual 
9/22/15,19:41,,12,AL 28,2209.4,***different valve/port than usual 
9/22/15,19:41,,8,AL 27,1453.3,***different valve/port than usual 
9/22/15,19:41,,5,AL 2,2216.5,***different valve/port than usual 
9/22/15,19:41,,9,AL 6,1703.3,***different valve/port than usual 
9/22/15,20:05,,10,Ambient4,,
9/22/15,21:50,,6,AL 25,1616.7,
9/22/15,21:50,,16,AL 36,1911.3,
9/22/15,21:50,,13,AL 8,1295.6,Mass corrected from 12952.6
9/22/15,21:50,,14,AL 7,2056.7,
9/22/15,21:50,,11,AL 29,1827,
9/22/15,21:50,,1,AL 20,2042.8,standing water on top of core
9/22/15,22:14,,10,Ambient4,,
9/22/15,22:24,,4,AL 12,2054.7,
9/22/15,22:24,,2,AL 26,1956.2,
9/22/15,22:24,,12,AL 14,1927.7,
9/22/15,22:24,,8,AL 1,1992.9,
9/22/15,22:24,,5,AL 16,2130.8,
9/22/15,22:24,,9,AL 13,1615.4,
9/22/15,22:48,,10,Ambient4,,
